ID,URL,ชื่ออาคาร,ราคาค่าเช่า,ที่อยู่,จำนวนชั้น,รวมพื้นที่เช่าทั้งหมด,Lat,Lon,Remark
23,https://www.cbre.co.th/th/rent/bhiraj-tower-at-bitec,ภิรัชทาวเวอร์ แอท ไบเทค,825 บาท / ตรม. / เดือน,ถนนสุขุมวิท (สี่แยกบางนา) เขตบางนา กรุงเทพฯ 10260,29 ชัั้น,"32,000 ตร.ม.",13.66971552,100.605852,
24,https://www.cbre.co.th/th/rent/home-office-sukhumvit22,โฮมออฟฟิศ สุขุมวิท 22,450 บาท / ตรม. / เดือน,ซอยสุขุมวิท 22 แขวงพร้อมพงษ์ เขตคลองเตย กรุงเทพมหานคร 10110,2,400 ตร.ม.,13.726086,100.56401,
25,https://www.cbre.co.th/th/rent/abdulrahim-place-fitted-office,อับดุลราฮิม เพลส พื้นที่สำนักงานตกแต่งบางส่วน,900 - 950 บาท / ตรม. / เดือน,ถนนพระราม 4 แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500,34,"47,000 ตร.ม.",13.727103,100.540548,
26,https://www.cbre.co.th/th/rent/the-unicorn,ดิ ยูนิคอร์น,950 บาท / ตรม. / เดือน,ถนนพญาไท แขวงพญาไท เขตราชเทวี กรุงเทพมหานคร 10400,51 ชั้น ชั้นใต้ดิน 2 ชั้น,"20,174 ตร.ม.",13.756835,100.533254,
27,https://www.cbre.co.th/th/rent/unilever-house,ยูนิลิเวอร์ เฮ้าส์ พื้นที่สำนักงานตกแต่งบางส่วน,,ถนนพระราม 9 เขตห้วยขวาง กรุงเทพฯ 10310,12,"46,000 ตร.ม.",13.756659,100.56727,
28,https://www.cbre.co.th/th/rent/one-city-centre,วัน ซิตี้ เซ็นเตอร์ (โอซีซี),,ถนนเพลินจิต แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,61 ชั้น และชั้นใต้ดิน 4 ชั้น,"61,000 ตร.ม.",13.74313,100.54658,
29,https://www.cbre.co.th/th/rent/thanapoom-tower-petchaburi,อาคารธนภูมิทาวเวอร์,650 บาท / ตรม. / เดือน,ถนนเพชรบุรีตัดใหม่ แขวงมักกะสัน เขตราชเทวี กรุงเทพฯ 10400,32,"41,000 ตร.ม.",13.749009,100.556949,
30,https://www.cbre.co.th/th/rent/m-thai-tower-fitted-office,เอ็มไทย ทาวเวอร์ - ตกแต่งบางส่วน,"1,100 บาท / ตรม. / เดือน",ถนนวิทยุ แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,27,"30,000 ตร.ม.",13.739552,100.547776,
31,https://www.cbre.co.th/th/rent/tipco-tower-i-rama-vi,ทิปโก้ ทาวเวอร์ 1,780 บาท / ตรม. / เดือน,ถนนพระราม 6 แขวงสามเสนใน เขตพญาไท กรุงเทพฯ 10400,34,"30,000 ตร.ม.",13.787673,100.536,
32,https://www.cbre.co.th/th/rent/berli-jucker-fitted-office-ekkamai,อาคารเบอร์ลี่ ยุคเกอร์ พื้นที่สำนักงานตกแต่งบางส่วน,,ซอยรูเบีย ถนนสุขุมวิท 42 แขวงพระโขนง เขตคลองเตย กรุงเทพฯ 10110,20,"21,000 ตร.ม.",13.714963,100.58572,
33,https://www.cbre.co.th/th/rent/sc-tower-phaholyothin,เอสซี ทาวเวอร์,780 บาท / ตรม. / เดือน,ถนนพหลโยธิน แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400,24,"12,250 ตร.ม.",13.78571235,100.5466161,
34,https://www.cbre.co.th/th/rent/fitted-office-mercury-tower-chidlom,เมอร์คิวรี่ ทาวเวอร์ พื้นที่สำนักงานตกแต่งบางส่วน,,ถนนเพลินจิต แขวงลุมพินี เขตปทุมวัน กรุงเทพฯ 10330,23,"23,556.24 ตร.ม.",13.743366,100.544461,
35,https://www.cbre.co.th/th/rent/fitted-office-exchange-tower-asok,เอ็กซ์เชนจ์ ทาวเวอร์ - พื้นที่สำนักงานตกแต่งบางส่วน,,ถนนสุขุมวิท เขตคลองเตย กรุงเทพฯ 10110,42,"35,000 ตร.ม.",13.735091,100.561611,
36,https://www.cbre.co.th/th/rent/interlink-tower-bangna-trad,อินเตอร์ลิงค์ ทาวเวอร์,580 บาท / ตรม. / เดือน,ถนนบางนาตราด กม.4.5 บางนา กรุงเทพฯ 10260,40,"54,750 ตร.ม.",13.66296513,100.6512387,
37,https://www.cbre.co.th/th/rent/empire-tower-sathorn,เอ็มไพร์ ทาวเวอร์,"1,080 บาท / ตรม. / เดือน",1 ถนนสาทรใต้ แขวงยานนาวา เขตสาทร กรุงเทพมหานคร 10120,58,"155,000 ตร.ม.",13.721026,100.530146,
